Time,Message ID,Initial Ammonia Concentration,Initial Hydrogen Sulfide Concentration,Maximum Pressure,Volumetric Flow Rate,Cost Per Gram (Copper Sulfate),Cost Per Gram (Ammonia),Cost Per Gram (Sulfuric Acid),Cost Per Kilowatt Hour,Number of Chemical Analyzers,Volumetric Flow Rate,Hydrogen Sulfide Concentration,Ammonia Concentration,Water Concentration,Max Applied Pressure,Concentration of Hydrogen Sulfide (leaving CSTR),Concentration of Ammonia (leaving CSTR),Concentration of Hydrogen Sulfide (leaving SSU),Concentration of Ammonia (leaving SUU),Final Concentration of Hydrogen Sulfide,Final Concentration of Ammonia,Final Concentration of Water,Power Consumption (KhW/s),Clean Water Production Percentage,Current Cost Of Power Per Second,Current Cost Of Chemicals Per Second,Current Segment Cost Per Liter,Grams CuS,Grams NH3,Grams H2SO4,NGSWAT-100,NGSWAT-200,NGSWAT-300,NGSWAT-400,Simulation Ticks,Segment Ticks,Segment Liters Treated,Segment Cost,Max Hydrogen Sulfide Concentration,Min Hydrogen Sulfide Concentration,Max Ammonia Concentration,Min Ammonia Concentration,Max Clean Water Percentage,Min Clean Water Percentage,Max Cost Per Liter,Min Cost Per Liter,Total Cost,Total Liters Treated,Average Cost Per Liter,Average Hydrogen Sulfide Concentration,Average Ammonia Concentration,Average Clean Water Percentage
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12003.87,987996.13,70000,0,0.01200387,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81110478,0.006333333,8.875278753,8.88,0,0,10903.2909,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,4410,124.25,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,124.25,4410,0.0282,0.00E+00,1.20E-10,97.811409
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12001.56,987998.44,70000,0,0.01200156,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81151916,0.006333333,8.873575459,8.87,0,0,10901.1984,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,4725,133.12,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,133.12,4725,0.0282,0.00E+00,1.20E-10,97.811417
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12004.73,987995.27,70000,0,0.01200473,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81095022,0.006333333,8.875914068,8.88,0,0,10904.0713,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,5040,142,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,142,5040,0.0282,0.00E+00,1.20E-10,97.811387
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11994.31,988005.69,70000,0,0.01199431,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81282327,0.006333333,8.868215004,8.87,0,0,10894.613,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,5355,150.87,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.813962,97.808376,0.0282,0.0281,150.87,5355,0.0282,0.00E+00,1.20E-10,97.811472
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11984.34,988015.66,70000,0,0.01198434,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81461803,0.006333333,8.860837913,8.86,0,0,10885.5503,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,5670,159.73,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,159.73,5670,0.0282,0.00E+00,1.20E-10,97.811647
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12001.73,987998.27,70000,0,0.01200173,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81148919,0.006333333,8.873698655,8.87,0,0,10901.3497,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,5985,168.6,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,168.6,5985,0.0282,0.00E+00,1.20E-10,97.811638
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12007.29,987992.71,70000,0,0.01200729,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81048906,0.006333333,8.877809671,8.88,0,0,10906.4001,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,6300,177.48,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,177.48,6300,0.0282,0.00E+00,1.20E-10,97.811581
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11999.46,988000.54,70000,0,0.01199946,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81189823,0.006333333,8.872017313,8.87,0,0,10899.2842,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,6615,186.35,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,186.35,6615,0.0282,0.00E+00,1.20E-10,97.811596
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12001.7,987998.3,70000,0,0.0120017,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81149491,0.006333333,8.873675117,8.87,0,0,10901.3208,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,6930,195.22,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,195.22,6930,0.0282,0.00E+00,1.20E-10,97.811591
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11995.4,988004.6,70000,0,0.0119954,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81262805,0.006333333,8.869017417,8.87,0,0,10895.5988,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
