Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 6:45	Simulation Tick																																		15	15	4725	25962.76	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	25962.76	4725	5.4948	3.79E-06	3.79E-08	97.84055
4/14/2017 6:45	System Status Message										315.45	11993.9	12004.73	976001.37	70000	0.0119939	0.01200473	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84041058	0.006333333	1729.379255	1729.38	17718.9173	0	15.8777	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		16	16	5040	27692.14	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.841678	97.837922	5.4941	5.4819	27692.14	5040	5.4945	3.79E-06	3.79E-08	97.840541
4/14/2017 6:45	System Status Message										315.45	11995.69	11994.31	976010	70000	0.01199569	0.01199431	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84226285	0.006333333	1729.629181	1729.63	17721.5705	0	4.7891	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		17	17	5355	29421.77	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.842263	97.837922	5.4941	5.4819	29421.77	5355	5.4943	3.79E-06	3.79E-08	97.840642
4/14/2017 6:45	System Status Message										315.45	12007.65	11984.34	976008.01	70000	0.01200765	0.01200099	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84106596	0.006333333	1731.870951	1731.87	17739.2381	5.2546	0	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		18	18	5670	31153.64	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.842263	97.837922	5.4941	5.4819	31153.64	5670	5.4945	3.79E-06	3.79E-08	97.840666
4/14/2017 6:45	System Status Message										315.45	11995.98	12001.73	976002.29	70000	0.01199598	0.01200173	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.84094739	0.006333333	1729.676311	1729.68	17721.9994	0	11.2622	PASS	PASS	PASS	PASS																		
4/14/2017 6:45	Simulation Tick																																		19	19	5985	32883.32	3.79E-06	3.78E-06	3.79E-08	3.78E-08	97.842263	97.837922	5.4941	5.4819	32883.32	5985	5.4943	3.79E-06	3.79E-08	97.840681
4/14/2017 6:45	System Status Message										315.45	11990.89	12007.29	976001.82	70000	0.01199089	0.01200729	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.83994829	0.006333333	1728.950381	1728.95	17714.481	0	20.9326	PASS	PASS	PASS	PASS																		
