Time	Message ID	Initial Ammonia Concentration	Initial Hydrogen Sulfide Concentration	Maximum Pressure	Volumetric Flow Rate	Cost Per Gram (Copper Sulfate)	Cost Per Gram (Ammonia)	Cost Per Gram (Sulfuric Acid)	Cost Per Kilowatt Hour	Number of Chemical Analyzers	Volumetric Flow Rate	Hydrogen Sulfide Concentration	Ammonia Concentration	Water Concentration	Max Applied Pressure	Concentration of Hydrogen Sulfide (leaving CSTR)	Concentration of Ammonia (leaving CSTR)	Concentration of Hydrogen Sulfide (leaving SSU)	Concentration of Ammonia (leaving SUU)	Final Concentration of Hydrogen Sulfide	Final Concentration of Ammonia	Final Concentration of Water	Power Consumption (KhW/s)	Clean Water Production Percentage	Current Cost Of Power Per Second	Current Cost Of Chemicals Per Second	Current Segment Cost Per Liter	Grams CuS	Grams NH3	Grams H2SO4	NGSWAT-100	NGSWAT-200	NGSWAT-300	NGSWAT-400	Simulation Ticks	Segment Ticks	Segment Liters Treated	Segment Cost	Max Hydrogen Sulfide Concentration	Min Hydrogen Sulfide Concentration	Max Ammonia Concentration	Min Ammonia Concentration	Max Clean Water Percentage	Min Clean Water Percentage	Max Cost Per Liter	Min Cost Per Liter	Total Cost	Total Liters Treated	Average Cost Per Liter	Average Hydrogen Sulfide Concentration	Average Ammonia Concentration	Average Clean Water Percentage
4/14/2017 8:39	Simulation Tick																																		15	15	4725	31593.65	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	31593.65	4725	6.6865	1.20E-08	1.20E-10	97.812342
4/14/2017 8:39	System Status Message										315.45	11993.9	0	988006.1	70000	0.0119939	0.01198725	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81411099	0.006333333	2104.516718	2104.52	17718.9173	3781.3768	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		16	16	5040	33698.17	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	33698.17	5040	6.6861	1.20E-08	1.20E-10	97.812452
4/14/2017 8:39	System Status Message										315.45	11995.69	0	988004.31	70000	0.01199569	0.01198904	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81378812	0.006333333	2104.831844	2104.83	17721.5705	3781.943	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		17	17	5355	35803	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	35803	5355	6.6859	1.20E-08	1.20E-10	97.812531
4/14/2017 8:39	System Status Message										315.45	12007.65	0	987992.35	70000	0.01200765	0.01200099	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81163817	0.006333333	2106.930263	2106.93	17739.2381	3785.7134	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		18	18	5670	37909.93	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	37909.93	5670	6.6861	1.20E-08	1.20E-10	97.812481
4/14/2017 8:39	System Status Message										315.45	11995.98	0	988004.02	70000	0.01199598	0.01198933	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81373593	0.006333333	2104.882786	2104.88	17721.9994	3782.0345	0	PASS	PASS	PASS	PASS																		
4/14/2017 8:39	Simulation Tick																																		19	19	5985	40014.81	1.20E-08	1.20E-08	1.20E-10	1.20E-10	97.814265	97.810111	6.6838	6.671	40014.81	5985	6.6858	1.20E-08	1.20E-10	97.812547
4/14/2017 8:39	System Status Message										315.45	11990.89	0	988009.11	70000	0.01199089	0.01198424	1.20E-05	1.20E-06	1.20E-08	1.20E-10	1000000	0.052777778	97.81465086	0.006333333	2103.989801	2103.99	17714.481	3780.43	0	PASS	PASS	PASS	PASS																		
